"variable","family","expected_ESS","min_Bulk_ESS","Bulk_ESS_pct","min_Tail_ESS","Tail_ESS_pct","max_Rhat","n_divergent","pareto_k_above_07","flag"
"feed_intake","gaussian",20000,1298.68961654181,6.5,2975.41641008917,14.9,1.0029,0,0,"OK"
"feed_duration","gaussian",20000,713.4581630627,3.6,1865.1879866272,9.3,1.0066,0,0,"low_Bulk_ESS"
"feed_visits","lognormal",44000,1174.69937470794,2.7,2522.93630634516,5.7,1.0055,0,0,"OK"
"water_intake","gaussian",36000,1247.20337997626,3.5,2608.18939638161,7.2,1.0035,0,0,"OK"
"water_duration","lognormal",56000,1126.05734979877,2,2439.63965687256,4.4,1.0026,0,0,"OK"
"water_visits","lognormal",36000,1471.79157525505,4.1,3178.0368527492,8.8,1.0028,0,0,"OK"
"total_meals","lognormal",20000,1169.41351228887,5.8,2427.65426809183,12.1,1.003,0,0,"OK"
"median_meal_duration","lognormal",20000,1852.13146847566,9.3,3667.74090323039,18.3,1.005,0,0,"OK"
"median_visit_per_meal","lognormal",20000,928.724035503598,4.6,1933.87569098463,9.7,1.007,0,0,"low_Bulk_ESS"
"median_intake_per_meal","lognormal",20000,1798.99356541246,9,3366.81790887026,16.8,1.0021,0,1,"pareto_k(1)"
"median_feeding_pct_per_meal","gaussian",20000,856.333008979895,4.3,1833.41261599275,9.2,1.0091,0,1,"low_Bulk_ESS; pareto_k(1)"
"number_of_non_nutritive_visits","lognormal",56000,1465.91400800659,2.6,3159.52716674472,5.6,1.0058,0,0,"OK"
"median_pct_feed_remaining","gaussian",20000,3117.17763378516,15.6,6160.24615069189,30.8,1.0011,0,0,"OK"
"median_non_nutritive_per_meal","lognormal",36000,1588.08925878406,4.4,3846.30554127579,10.7,1.0036,0,0,"OK"
"total_actor","lognormal",20000,1017.88004474044,5.1,2048.74656868782,10.2,1.006,0,0,"OK"
"total_reactor","lognormal",20000,1461.07930354077,7.3,2862.30550091323,14.3,1.0035,0,0,"OK"
