"variable","family","R_cow_mean","R_cow_lower","R_cow_upper","R_residual","CVi_mean","CVi_lower","CVi_upper"
"feed_intake","gaussian",0.3874,0.3196,0.4555,0.6126,0.0957,0.0821,0.1095
"feed_duration","gaussian",0.5608,0.4943,0.63,0.4392,0.1357,0.1173,0.1546
"feed_visits","lognormal",0.6771,0.6182,0.7382,0.3229,0.2919,0.2515,0.3352
"water_intake","gaussian",0.5507,0.4794,0.6182,0.4493,0.1351,0.1165,0.1542
"water_duration","lognormal",0.7425,0.6889,0.7942,0.2575,0.3934,0.3371,0.4532
"water_visits","lognormal",0.5506,0.4811,0.6179,0.4494,0.2827,0.2427,0.324
"total_meals","lognormal",0.3834,0.3158,0.4502,0.6166,0.1523,0.1303,0.174
"median_meal_duration","lognormal",0.3138,0.2514,0.3784,0.6862,0.1833,0.1559,0.2108
"median_visit_per_meal","lognormal",0.5188,0.4489,0.5856,0.4812,0.3286,0.2818,0.376
"median_intake_per_meal","lognormal",0.2915,0.2322,0.3555,0.7085,0.1787,0.1534,0.2071
"median_feeding_pct_per_meal","gaussian",0.5946,0.5277,0.6602,0.4054,0.0891,0.0771,0.1017
"number_of_non_nutritive_visits","lognormal",0.6419,0.5778,0.704,0.3581,0.5255,0.4456,0.6078
"median_pct_feed_remaining","gaussian",0.2063,0.1565,0.2559,0.7937,0.126,0.1074,0.1456
"median_non_nutritive_per_meal","lognormal",0.5559,0.4879,0.6237,0.4441,0.4419,0.3778,0.5104
"total_actor","lognormal",0.4999,0.4318,0.5736,0.5001,0.4651,0.3958,0.5419
"total_reactor","lognormal",0.4372,0.3686,0.5069,0.5628,0.3751,0.322,0.4337
