"variable","family","expected_ESS","min_Bulk_ESS","Bulk_ESS_pct","min_Tail_ESS","Tail_ESS_pct","max_Rhat","n_divergent","pareto_k_above_07","flag"
"feed_intake","gaussian",36000,2488.90074057878,6.9,4921.57613487357,13.7,1.0006,0,14,"pareto_k(14)"
"feed_duration","gaussian",44000,5154.27911278232,11.7,10065.2741023666,22.9,1.0016,0,5,"pareto_k(5)"
"feed_visits","lognormal",44000,2015.0332729866,4.6,3911.46427931188,8.9,1.0012,0,4,"pareto_k(4)"
"water_intake","gaussian",36000,1954.7932551224,5.4,3942.24751073233,11,1.0039,0,1,"pareto_k(1)"
"water_duration","lognormal",56000,3041.02063846782,5.4,6831.87059115848,12.2,1.0022,0,2,"pareto_k(2)"
"water_visits","lognormal",36000,2396.98104190243,6.7,4892.00232650534,13.6,1.0016,0,1,"pareto_k(1)"
"total_meals","lognormal",36000,3603.60291692152,10,6811.18946362408,18.9,1.0009,0,2,"pareto_k(2)"
"median_meal_duration","lognormal",20000,2106.01082663104,10.5,3709.94042799188,18.5,1.0009,0,0,"OK"
"median_visit_per_meal","lognormal",44000,2868.13420326843,6.5,6043.18687119466,13.7,1.0017,0,1,"pareto_k(1)"
"median_intake_per_meal","lognormal",20000,2504.32669528026,12.5,4621.74994006938,23.1,1.002,0,10,"pareto_k(10)"
"median_feeding_pct_per_meal","gaussian",44000,2984.62953731829,6.8,6627.78858105195,15.1,1.0025,0,4,"pareto_k(4)"
"number_of_non_nutritive_visits","lognormal",56000,2953.74250109536,5.3,6364.26994125174,11.4,1.0014,0,1,"pareto_k(1)"
"median_pct_feed_remaining","gaussian",20000,2265.00013120249,11.3,4729.66215067666,23.6,1.002,0,0,"OK"
"median_non_nutritive_per_meal","lognormal",56000,3019.83874921916,5.4,5875.88409106114,10.5,1.0034,0,0,"OK"
"total_actor","lognormal",20000,1399.3832855633,7,2817.42420187797,14.1,1.0039,0,3,"pareto_k(3)"
"total_reactor","lognormal",20000,2009.08295630492,10,4266.63426017724,21.3,1.0028,0,1,"pareto_k(1)"
