"variable","family","rIIV_mean","rIIV_lower","rIIV_upper","CVP_mean","CVP_lower","CVP_upper"
"feed_intake","gaussian",1.5543,1.441,1.6781,0.2229,0.1843,0.2633
"feed_duration","gaussian",1.4077,1.3214,1.4991,0.172,0.141,0.2054
"feed_visits","lognormal",1.4063,1.3181,1.4972,0.1715,0.1397,0.2047
"water_intake","gaussian",1.418,1.3261,1.512,0.1757,0.1427,0.2098
"water_duration","lognormal",1.4763,1.3791,1.5803,0.1964,0.1618,0.2318
"water_visits","lognormal",1.398,1.3087,1.491,0.1684,0.1366,0.203
"total_meals","lognormal",1.3092,1.2302,1.3958,0.1351,0.1041,0.1681
"median_meal_duration","lognormal",1.2349,1.1571,1.3122,0.1056,0.0731,0.1365
"median_visit_per_meal","lognormal",1.2149,1.1504,1.2807,0.0974,0.0711,0.125
"median_intake_per_meal","lognormal",1.5144,1.4038,1.6308,0.2094,0.173,0.2502
"median_feeding_pct_per_meal","gaussian",1.5173,1.4041,1.6324,0.2104,0.1736,0.2513
"number_of_non_nutritive_visits","lognormal",1.5053,1.4039,1.6183,0.2064,0.171,0.2443
"median_pct_feed_remaining","gaussian",1.4036,1.3145,1.4973,0.1705,0.1375,0.204
"median_non_nutritive_per_meal","lognormal",1.1749,1.1116,1.2394,0.0805,0.0529,0.1076
"total_actor","lognormal",1.5314,1.4205,1.6469,0.2152,0.1769,0.2534
"total_reactor","lognormal",1.355,1.2707,1.4422,0.1525,0.1217,0.1861
