"cow","variable","intercept"
"2007","feed_intake",69.2145516960405
"2051","feed_intake",59.9938782086372
"2063","feed_intake",58.2363622172497
"3067","feed_intake",70.2891973944144
"3117","feed_intake",68.7299148315899
"3131","feed_intake",62.9196129120211
"3150","feed_intake",64.9225795609723
"4001","feed_intake",64.8800682914795
"4008","feed_intake",64.0413426449925
"4026","feed_intake",62.3587779785707
"4044","feed_intake",62.5428522409427
"4057","feed_intake",62.0499743807933
"4072","feed_intake",64.373966890421
"4080","feed_intake",64.2831967595937
"5005","feed_intake",59.3038055900449
"5041","feed_intake",65.8101414249908
"5042","feed_intake",72.4987572808866
"5061","feed_intake",64.7181365847997
"5064","feed_intake",66.0054517706864
"5096","feed_intake",55.6607300653357
"5100","feed_intake",61.3155207074525
"5118","feed_intake",63.0046860021039
"5120","feed_intake",69.6036578168966
"5123","feed_intake",77.2179939246919
"5124","feed_intake",62.0831635239154
"5133","feed_intake",66.9792212959118
"5135","feed_intake",74.1920037464546
"5137","feed_intake",63.9103509765075
"5139","feed_intake",65.8432747645781
"5140","feed_intake",63.9030895448977
"5145","feed_intake",65.7803673394002
"6004","feed_intake",62.6003040228117
"6005","feed_intake",67.8585750994746
"6011","feed_intake",67.3103026646779
"6022","feed_intake",77.4999847256854
"6025","feed_intake",70.8250007286079
"6027","feed_intake",69.1517629329551
"6028","feed_intake",70.6259107566798
"6029","feed_intake",72.6413712374057
"6033","feed_intake",58.5482298509617
"6041","feed_intake",66.4198480937175
"6043","feed_intake",59.8740538860027
"6050","feed_intake",59.1925834499652
"6055","feed_intake",60.5909356564255
"6062","feed_intake",71.1648287792273
"6067","feed_intake",70.6030286833862
"6068","feed_intake",66.5815347317351
"6069","feed_intake",69.9408376932846
"6079","feed_intake",70.6707640720371
"6084","feed_intake",65.7421940606165
"6086","feed_intake",58.7302056750357
"6087","feed_intake",59.389249191379
"6090","feed_intake",60.4875722039123
"6092","feed_intake",62.1146887092113
"6093","feed_intake",68.2786228062147
"6096","feed_intake",68.2786850598883
"6125","feed_intake",53.1492297422489
"6126","feed_intake",71.3642306269012
"6129","feed_intake",64.5000567422894
"6130","feed_intake",63.8749131817183
"6131","feed_intake",66.6748242165133
"6134","feed_intake",73.0882764050814
"7010","feed_intake",72.1713864675516
"7018","feed_intake",63.1816544419913
"7019","feed_intake",67.850372942822
"7022","feed_intake",69.1660960569925
"7023","feed_intake",67.2925251456901
"7024","feed_intake",67.4473100630505
"7025","feed_intake",69.2666454096702
"7027","feed_intake",76.9207057735192
"7029","feed_intake",67.1224858948945
"7030","feed_intake",70.7536201979842
"7033","feed_intake",64.69495690105
"7039","feed_intake",65.1162244356259
"7043","feed_intake",63.4914733695477
"7045","feed_intake",65.7315284238249
"7048","feed_intake",69.1494289800619
"7051","feed_intake",69.6410986161628
"7060","feed_intake",58.736065051946
"7064","feed_intake",70.2499592208089
"7065","feed_intake",66.8608502334883
"7068","feed_intake",71.0142194112532
"7078","feed_intake",68.1732788458133
"7109","feed_intake",65.2227167127514
"7110","feed_intake",67.5745351395623
"7114","feed_intake",67.6120300048645
"7115","feed_intake",61.8684781583311
"7116","feed_intake",60.627773443266
"7119","feed_intake",60.0394014702135
"7128","feed_intake",60.6370643884885
"7136","feed_intake",67.7293265048842
"7138","feed_intake",63.1191427999895
"7139","feed_intake",64.9034253188027
"7143","feed_intake",63.0735679488929
"7146","feed_intake",61.4594707116892
"7150","feed_intake",65.1742341980194
"7153","feed_intake",65.1811939643973
"7159","feed_intake",63.7856733349442
"7163","feed_intake",65.6578113781433
"7169","feed_intake",60.2660240042373
"8015","feed_intake",63.8224135406047
