"cow","variable","slope"
"2007","feed_intake",7.74251048122194
"2051","feed_intake",6.30649435930544
"2063","feed_intake",5.69212223883719
"3067","feed_intake",6.76367427384436
"3117","feed_intake",5.94450766106472
"3131","feed_intake",5.76343642926596
"3150","feed_intake",5.2853731210452
"4001","feed_intake",6.59929295937194
"4008","feed_intake",7.88834354560799
"4026","feed_intake",5.93557665782217
"4044","feed_intake",6.41573856090518
"4057","feed_intake",4.60438417634318
"4072","feed_intake",5.15129432693886
"4080","feed_intake",6.18456716082015
"5005","feed_intake",8.43002814618057
"5041","feed_intake",6.04510170725783
"5042","feed_intake",5.99472080120377
"5061","feed_intake",6.23541761932417
"5064","feed_intake",7.64172454276308
"5096","feed_intake",4.37766809875358
"5100","feed_intake",6.75159107897344
"5118","feed_intake",5.76342361646372
"5120","feed_intake",8.11153375592561
"5123","feed_intake",6.25861786778715
"5124","feed_intake",6.21415003205638
"5133","feed_intake",5.9046139903396
"5135","feed_intake",6.46875767712569
"5137","feed_intake",4.90245220796481
"5139","feed_intake",6.03073152189174
"5140","feed_intake",4.23985844773784
"5145","feed_intake",5.04606174853973
"6004","feed_intake",5.85836204078731
"6005","feed_intake",4.67402151835257
"6011","feed_intake",4.13661395725918
"6022","feed_intake",6.88527713498642
"6025","feed_intake",5.69500386561955
"6027","feed_intake",7.15414215017013
"6028","feed_intake",7.04068681850938
"6029","feed_intake",8.18727930677492
"6033","feed_intake",7.32034106263083
"6041","feed_intake",5.57626558269598
"6043","feed_intake",4.25475209158448
"6050","feed_intake",5.35899512856398
"6055","feed_intake",4.45281221555305
"6062","feed_intake",6.66086340874773
"6067","feed_intake",8.41302735469969
"6068","feed_intake",7.05597842953706
"6069","feed_intake",6.86424187343813
"6079","feed_intake",9.10717337482474
"6084","feed_intake",6.58350753344156
"6086","feed_intake",6.17060910822809
"6087","feed_intake",6.42691503949621
"6090","feed_intake",6.4698289876846
"6092","feed_intake",6.30757286187501
"6093","feed_intake",5.08563761477245
"6096","feed_intake",6.1995574475478
"6125","feed_intake",5.50034708773524
"6126","feed_intake",8.46952636291609
"6129","feed_intake",5.6191302759337
