"variable","RC1","RC2","RC11","RC6","RC3","RC5","RC8","RC7","RC9","RC10","RC4"
"int_number_of_non_nutritive_visits",0.970259020358498,-0.028384349029017,-0.0876332862198487,-0.114294510070603,0.0116516621711789,-0.00510295766538909,0.0685172927007532,0.0327405603096026,0.026816349196111,-0.0380062233040806,0.00725116530416605
"int_total_actor",0.346437729650029,0.0465668839082108,0.0532891915750565,0.0731537992302021,0.0852555982090531,0.134607443112124,0.801497079681105,0.0692871880945101,0.0516447633645618,-0.0987874656470945,0.192032861479339
"int_median_non_nutritive_per_meal",0.957981040376926,0.036201970375464,0.163846901537708,-0.126355259770965,-0.0359146354518093,-0.0161880717518968,0.0646968439155262,0.0390004805588604,-0.0218062114168848,-0.0191460367887433,-0.0477164959962141
"int_water_duration",-0.0442909133792771,0.0186243349388913,-0.0298925513578533,0.0746963626697836,0.0318289050366374,0.878742508573493,0.143411700687896,0.196627421181868,0.0838395294603751,0.0390656569638306,-0.112905363034116
"int_total_reactor",0.313936645856489,0.12562224530803,0.111853333581128,-0.575845470722995,0.13549839977744,0.148847275527866,-0.355216095892257,-0.128024645457152,0.1600328276258,-0.122177380422119,0.261947679459142
"int_median_visit_per_meal",0.895938906399683,0.0906734758872902,0.380704080714802,-0.124419197537249,0.0259215515439628,-0.0346482128195831,0.060257123023841,0.0191504434865118,-0.0818668950044978,-0.00361171472476173,0.0434328731048827
"int_feed_visits",0.960921764820125,-0.0425051464264631,-0.0617070179950634,-0.132665167903818,0.113311845075879,0.0142033830891803,0.0830017794797101,0.00143940565869336,-0.00553483674033817,-0.0272844752093804,0.113062411715575
"int_water_visits",0.115758763033517,-0.0310247778495793,-0.0596057636259373,-0.0935016629402557,-0.0149984074521121,0.879235766987471,0.000375808751491807,-0.0989348984567784,0.0359888060778193,0.0328318367322729,0.0899483357335758
"int_feed_duration",-0.147821445639293,-0.0209881833715779,0.0852302160792348,-0.108004633916497,0.192055068789004,0.150567284944476,0.155929652308532,-0.0558729111631375,0.848433778098583,-0.0765211163152041,0.107242248552645
"int_water_intake",-0.0505212696714024,-0.0335042149564495,0.0207474050163132,-0.0678301730184046,0.879781942715197,-0.0229081566599348,0.00629391729222134,-0.180437599405052,0.164222678023867,-0.00218240085185513,-0.0846985352310434
"int_median_feeding_pct_per_meal",-0.755291332500808,-0.0410666448313829,0.0356098476554493,0.0936167210824393,0.0450721040076788,-0.159184486885555,-0.0213886540483244,-0.0648057923460966,0.510545945273865,-0.109361791468431,0.114421005982269
"int_median_meal_duration",0.251036320220617,0.223863435570604,0.817284981376255,-0.0805245259182002,-0.00208290609906458,0.0793995268542663,0.0782955264700478,0.0431475102421178,0.274647592253477,-0.0296983799284687,-0.0919879620043741
"int_median_intake_per_meal",0.0562559930615036,0.148889723728054,0.872212580984972,0.00754330678084948,0.341954533915792,-0.122112384694896,-0.00141273301184685,-0.0143164208370503,-0.0999096194451551,0.0827662171388895,0.0789347480899946
"int_total_meals",0.031605747924388,-0.302045981219906,-0.877524137983913,-0.0709473311080474,0.20053295468411,0.109477860183073,0.067476148566224,-0.0504942241133915,0.0662070293256413,-0.0710775151366089,0.0958644298194485
"int_median_pct_feed_remaining",-0.107595444626377,0.129381346634711,0.184751398992013,-0.101263080629582,-0.129979805879596,-0.0157361165130119,0.0244771981507098,0.0522725706486932,-0.166512607755183,-0.0549246399542009,-0.822574581790175
"int_feed_intake",0.120742091017323,-0.0908314033602743,0.0702789088369573,-0.0423581687001013,0.860963666629851,0.0109886498427029,0.0852843973303488,-0.0176797713513777,-0.0245780184511161,0.169738910013481,0.30441491356791
"slp_number_of_non_nutritive_visits",-0.429840492896149,0.0881903871703617,0.00487827679700647,0.722525792009898,0.0360275873819025,-0.0680357888035332,-0.146818435653393,0.04518056689711,0.0697517311586569,0.154648452179353,0.0394457563500947
