"PC","variance_pct","cumulative_pct"
"PC1",18.68,18.68
"PC2",14.16,32.85
"PC3",9.22,42.07
"PC4",7.67,49.73
"PC5",6.75,56.49
"PC6",6.03,62.52
"PC7",4.65,67.16
"PC8",4.38,71.54
"PC9",4.1,75.65
"PC10",3.07,78.72
"PC11",2.78,81.5
"PC12",2.55,84.05
"PC13",2.45,86.49
"PC14",2.03,88.52
"PC15",1.79,90.31
"PC16",1.63,91.94
"PC17",1.55,93.49
"PC18",1.11,94.6
"PC19",0.98,95.58
"PC20",0.93,96.51
"PC21",0.85,97.36
"PC22",0.67,98.03
"PC23",0.46,98.49
"PC24",0.43,98.92
"PC25",0.37,99.29
"PC26",0.31,99.6
"PC27",0.2,99.8
"PC28",0.09,99.89
"PC29",0.05,99.94
"PC30",0.03,99.97
"PC31",0.02,100
"PC32",0,100
