"variable","RC1","RC2","RC3","RC4"
"int_number_of_non_nutritive_visits",0.960070837126057,-0.0781759871946953,0.044851023443935,0.0150201474229979
"int_total_actor",0.420743703337835,0.0412293400055872,0.175721049457653,0.300824489171002
"int_median_non_nutritive_per_meal",0.957681496940866,0.180197898231561,-0.0355318697945267,-0.0106985165364294
"int_water_duration",-0.0342595738241193,-0.0192585652191145,-0.0644326039887285,0.884283717275673
"int_total_reactor",0.374852510413616,0.125077044668479,0.292400449942832,0.113909591455261
"int_median_visit_per_meal",0.911555371302604,0.383963951348286,0.0298322023530898,-0.047338107643596
"int_feed_visits",0.96549648162708,-0.0742661382624435,0.167103586345298,0.0198652320272849
"int_water_visits",0.155029276740485,-0.124526467311947,0.00816715210516169,0.83594486979554
"int_feed_duration",-0.243669220405337,0.182098379909984,0.541768081546921,0.420079239638126
"int_water_intake",-0.0719735234082664,0.0911872920527048,0.806514200730718,-0.0431917394449062
"int_median_feeding_pct_per_meal",-0.829256664719782,0.0604051830796371,0.260446041821493,-0.00817122250531428
"int_median_meal_duration",0.22334956242518,0.907891925506902,0.0690197587765127,0.174395627378111
"int_median_intake_per_meal",0.0876735815086335,0.865367843673579,0.283654743499918,-0.18670865301342
"int_total_meals",0.0337963747338516,-0.918307483379901,0.268237031247759,0.118324373789406
"int_median_pct_feed_remaining",-0.0907299568967912,0.303302495661681,-0.494473822645668,-0.0112725140525169
"int_feed_intake",0.168156334767656,0.0244800653412362,0.851783789578882,-0.064217586871275
