"variable","RC1","RC2","RC3","RC4"
"int_number_of_non_nutritive_visits",0.959225628106527,0.0192626229900126,-0.0176561042482616,0.0268649439311268
"int_total_actor",0.472533718543647,0.237297315101671,0.218865088540215,-0.618903037502574
"int_median_non_nutritive_per_meal",0.971710083073846,-0.0116484511944036,-0.0590346566735882,0.0389888177683744
"int_water_duration",-0.0622694414311399,0.888800181846722,0.0378523977644434,-0.180874796375956
"int_total_reactor",0.376118882425721,0.150692233341724,0.240310545915112,0.777558199656296
"int_median_visit_per_meal",0.94097744996383,-0.0433333407008425,-0.0278463117958351,0.0545818641442331
"int_feed_visits",0.968321006274759,0.0348963132618466,0.0427470759398984,0.0311749253109963
"int_water_visits",0.0973614710458204,0.911391177300711,-0.00261559583704424,0.185882180885322
"int_feed_duration",-0.129066268146626,0.184389776124389,0.858972930720531,-0.0570376566562264
"int_water_intake",0.0162629169056261,-0.0924360914751583,0.710495588280537,0.097016729106299
"int_median_feeding_pct_per_meal",-0.761804330434767,-0.141801114363069,0.478262104707362,-0.0028374932537568
