"variable","RC1","RC3","RC6","RC2","RC4","RC5"
"int_number_of_non_nutritive_visits",0.947262583407641,-0.166371213954002,-0.0733107947618141,0.0839044660891241,0.0274558156043568,0.0217535223547513
"int_total_actor",0.377522907525169,0.0328483599886484,0.16325421906309,0.792385346245899,0.149276927095199,0.0651989062245753
"int_median_non_nutritive_per_meal",0.962259055739496,-0.0825143149751436,-0.11954466335271,0.0932485373419431,-0.0135147486099807,0.0568958236097103
"int_water_duration",-0.0845824957900654,0.0453401158573665,0.0749396715969239,0.139792638781341,0.88224162468399,0.180730263870734
"int_total_reactor",0.358636459006946,0.0380996156935994,-0.721621595195574,-0.215350458156264,0.15892276743365,-0.120357633173096
"int_median_visit_per_meal",0.93902931217681,-0.00464992667351017,-0.125412617986905,0.0708956782397913,-0.0421454955410284,0.0315275737740084
"int_feed_visits",0.9514479944788,-0.174495159422256,-0.0700531068761159,0.0779807441453104,0.0503816696064868,-0.0265914552987638
"int_water_visits",0.0935500247166624,0.00251654746141719,-0.112318822090141,0.0158826462393899,0.914062417514665,-0.121558150102288
"slp_number_of_non_nutritive_visits",-0.412984241915037,0.552097745298882,0.509352877333683,-0.175458255525569,-0.109942487416087,0.0514975367977349
"slp_total_actor",0.0028502888049819,0.0371809427251401,-0.0464762723338453,-0.942191139636352,-0.0401840466071008,-0.0251839540040727
"slp_median_non_nutritive_per_meal",-0.103732714565054,0.881914154078757,0.0576957009975511,0.0157710432164388,-0.0162986404337994,-0.0697268896913275
"slp_water_duration",-0.0627745673563999,-0.00137906785425497,-0.00463770205552461,-0.0283726343829751,-0.0680668525523922,0.893854208469655
"slp_total_reactor",-0.000713103980119169,0.0406994446449487,0.874285492756226,0.119703588286501,0.083674887037153,0.00995145294871173
"slp_median_visit_per_meal",-0.0970770576267722,0.859357174123788,-0.087655183258212,0.0758404414521999,0.100760004656311,0.0181062625239391
"slp_feed_visits",-0.0848510210890623,0.629883343013228,0.562302381248139,-0.231001331853607,-0.023490289258054,0.0480294183099015
"slp_water_visits",0.135262902451182,-0.0204830206711701,0.113978787818374,0.10783541334092,0.124685464967744,0.876527920437104
