"variable","RC1","RC2","RC3","RC4","RC5","RC6","RC7","RC8"
"int_number_of_non_nutritive_visits",0.933342446300935,-0.138860135530516,0.103793709946604,-0.0107038005829926,0.122437302204771,0.026609091121833,-0.0060247655366804,-0.0174769458074948
"int_total_actor",0.383617826281206,0.00478039590088879,-0.199052122861568,0.142548565105661,0.763310640210308,0.0549648020310377,0.0404925718464191,-0.0159271557479443
"int_median_non_nutritive_per_meal",0.960444103226555,-0.0845225023278909,0.104323596526731,-0.0264687667848413,0.0835210690168115,0.0494569681386714,0.0595910507988305,-0.0479157625701575
"int_water_duration",-0.0601900486053801,0.0805191686097648,-0.0511718982137311,0.856112890883549,0.173466435136825,0.228035088172968,0.00115717253567594,0.108798284426682
"int_total_reactor",0.346407240070964,-0.0519989847228484,0.722459455967758,0.152952147256735,-0.203444291877351,-0.139082590652915,0.0873344769675748,-0.00643772842575634
"int_median_visit_per_meal",0.943221965616287,-0.0139001918505721,0.0916544249679282,-0.049055797382705,0.0409105119833374,0.0290465750370373,0.13009038173834,-0.00477433009542295
"int_feed_visits",0.938355793625689,-0.140026696562094,0.10354683275751,0.0067841842943035,0.122951274954493,-0.014674171057716,0.0197665447095603,0.0467222034753447
"int_water_visits",0.11591492320921,0.019596017706375,0.122843534358873,0.866608405386042,0.0426609548246911,-0.0897940205989136,0.052955790188886,-0.0778953572326986
"int_feed_duration",-0.256877380494594,0.21681973198308,0.48145374085796,0.0943275783170448,0.496589157781365,-0.0527391421500896,0.350719872275171,0.125385137392412
"int_water_intake",-0.045893499533422,0.0846754575695522,0.1931395213175,-0.0530820464787159,0.107105993567471,-0.191156024931011,0.0548883100323605,0.869770719303035
"int_median_feeding_pct_per_meal",-0.808455359954197,0.238240967309658,0.185202325570024,-0.176218155683018,0.160579882592696,-0.0644708631809644,0.276988824319603,-0.00453874072177071
"slp_number_of_non_nutritive_visits",-0.437557890621583,0.606022024810942,-0.403279251555351,-0.116322365980166,-0.129134329226818,0.0470989630176012,-0.0624033911298276,0.0270183606873678
"slp_total_actor",-0.0394418055366528,0.118763195655011,0.151360836763901,-0.0558662721484866,-0.851693945159034,-0.037600034547636,0.100198441878417,-0.0679418481572227
"slp_median_non_nutritive_per_meal",-0.0858047509054936,0.796500910890502,-0.0999996584712314,0.0402808568477419,-0.0806929809295922,-0.0538697881482708,0.0300764446043889,0.274238951233096
"slp_water_duration",-0.0513643526481339,-0.00529452948081656,0.000224012298099784,-0.04760821025457,-0.0567813308183104,0.839348567758484,-0.121395911416274,-0.214322454539031
"slp_total_reactor",-0.0367902039460808,0.186281166439837,-0.793397701579611,0.059204292814902,0.186351874552768,-0.000524679836325471,0.0822992982114188,-0.150189341569349
"slp_median_visit_per_meal",-0.0889102667090452,0.772596331094754,0.0869301619831867,0.163532939912214,0.0179364458156501,-0.0108302795525328,0.01801868892293,0.0721875503121155
"slp_feed_visits",-0.129601463933673,0.763765778544723,-0.34411667524348,-0.0884004864738587,-0.0978006081242004,0.0372145509119286,-0.12272203530497,-0.168453165417942
"slp_water_visits",0.118085398203307,-0.0222675765337964,-0.107635213226324,0.139287975690621,0.105754321477664,0.857115109869999,-0.0323070061294431,-0.0351618630745788
"slp_feed_duration",-0.139902628265305,0.651761521576156,0.210994089210585,-0.1547686336089,0.267696115776556,0.0956383167151445,-0.110395453617557,-0.412172186711578
"slp_water_intake",0.113482622163228,0.191610613354628,-0.00277087816389053,-0.461287732948113,0.0791306350292795,0.444307241563724,0.261472267282518,0.240657317970286
"slp_median_feeding_pct_per_meal",-0.0446848452272565,0.126252982921215,-0.00844374277821341,-0.00585672743195865,0.0513926104223978,0.0964118303251452,-0.932824294931536,-0.0530167329473763
