"","date","cow","feed_intake","feed_duration","feed_visits","water_intake","water_duration","water_visits"
"1",2020-07-15,2007,65.2,10813,67,136.5,565,11
"2",2020-07-15,2074,65.8,6316,59,130.6,403,11
"3",2020-07-15,3067,62.5,10605,45,135,462,8
"4",2020-07-15,3117,68.6,10428,76,111.2,514,9
"5",2020-07-15,4001,62.4,11247,78,129,990,10
"6",2020-07-15,4038,65.2,13106,91,160.4,887,16
"7",2020-07-15,5005,54.6,12327,38,94.1,1233,12
"8",2020-07-15,5133,58.2,11822,88,121.8,679,9
"9",2020-07-15,5137,56,7368,79,111.5,553,12
"10",2020-07-15,5139,56.7,11043,60,122.4,562,11
"11",2020-07-15,5140,52.3,9419,102,99.1,1112,20
"12",2020-07-15,5145,55.4,7673,87,119.8,439,15
"13",2020-07-15,6004,56.2,13842,44,116.1,689,9
"14",2020-07-15,6005,49.5,13300,77,117.7,504,9
"15",2020-07-15,6011,49.6,15302,126,153.8,965,12
"16",2020-07-15,6021,71,12589,59,144.1,546,9
"17",2020-07-15,6028,59.3,13961,77,140.8,1329,13
"18",2020-07-15,6033,53.3,13821,74,98.1,1481,15
"19",2020-07-15,6047,50.4,11742,76,111.1,1130,20
"20",2020-07-15,6126,57.8,11668,68,128.2,1733,29
"21",2020-07-15,6129,58.5,15115,73,135.6,573,10
"22",2020-07-15,6130,51.2,16517,126,113.6,837,10
"23",2020-07-15,6131,57.9,13657,69,126.7,620,13
"24",2020-07-15,6133,40.3,8637,37,97.6,593,8
"25",2020-07-15,6134,51.5,11520,103,132.2,1497,21
"26",2020-07-15,7007,59.6,10522,78,115.7,800,10
"27",2020-07-15,7008,55.9,11662,119,138.4,462,8
"28",2020-07-15,7010,56.8,12063,60,132.2,877,8
"29",2020-07-15,7018,50.3,13605,87,99.2,678,18
"30",2020-07-15,7019,50.4,14039,85,123.3,570,12
"31",2020-07-15,7022,66.1,17795,109,139.9,1258,25
"32",2020-07-15,7023,55.7,14668,81,108.6,875,9
"33",2020-07-15,7024,62.8,10105,75,122.6,903,11
"34",2020-07-15,7027,62.3,13646,130,110.1,699,11
"35",2020-07-15,7029,58.3,10435,83,118.7,1559,15
"36",2020-07-15,7030,62.4,11779,115,138.2,658,12
"37",2020-07-15,7033,43.2,6632,39,71.3,558,7
"38",2020-07-15,7037,63.1,14775,85,141.6,1861,30
"39",2020-07-15,7039,51.7,10006,98,103.5,887,16
"40",2020-07-15,7043,58.9,14812,76,121.6,759,14
"41",2020-07-15,7051,66.5,13673,86,145.4,1200,26
"42",2020-07-15,7065,57.3,15335,71,115.5,716,14
"43",2020-07-15,7146,49.6,14432,93,92.7,1391,17
"44",2020-07-15,7159,51.7,16500,98,112.6,851,9
"45",2020-07-15,7169,45,13320,106,86.8,2128,31
"46",2020-07-15,8015,47.7,11369,54,94.6,791,15
"47",2020-07-15,8019,39.2,11398,53,93.2,733,9
"48",2020-07-15,8023,32.5,8587,45,69.2,904,8
"49",2020-07-16,2007,54.4,9022,57,101.6,424,8
"50",2020-07-16,2074,65.7,6418,70,113.7,339,11
"51",2020-07-16,3067,65.1,11218,52,143.1,535,7
"52",2020-07-16,3117,67.7,10896,65,141.1,764,12
"53",2020-07-16,4001,60.8,10774,76,126.6,701,16
"54",2020-07-16,4038,58,13488,85,146.7,815,12
"55",2020-07-16,5005,51.2,11419,29,87.5,1149,8
"56",2020-07-16,5133,56.1,11704,98,120.4,915,12
"57",2020-07-16,5137,54.3,7470,63,122.5,603,18
"58",2020-07-16,5139,62.3,11202,47,133.2,940,9
"59",2020-07-16,5140,52.3,9771,100,95,999,14
"60",2020-07-16,5145,59.4,8235,99,125.6,420,15
"61",2020-07-16,6004,44.5,12150,40,93.2,520,9
"62",2020-07-16,6005,62.6,15124,96,141.7,875,10
"63",2020-07-16,6011,46.7,14669,114,118.6,596,7
"64",2020-07-16,6021,66.3,11195,48,144.5,628,9
"65",2020-07-16,6028,58.9,15324,83,154.3,1668,19
"66",2020-07-16,6033,46.9,13967,72,88.1,1305,20
"67",2020-07-16,6047,64.9,16280,91,130.9,1127,19
"68",2020-07-16,6126,70.9,15615,74,125.4,1855,29
"69",2020-07-16,6129,59.4,15312,60,146.8,599,11
"70",2020-07-16,6130,52.7,15427,126,103.9,673,13
"71",2020-07-16,6131,54.2,13074,50,120,621,13
"72",2020-07-16,6133,44.9,9993,59,101.9,479,9
"73",2020-07-16,6134,55.3,12015,116,138.3,1315,18
"74",2020-07-16,7007,56,11270,92,114,987,16
"75",2020-07-16,7008,65.8,13937,124,147.5,557,9
"76",2020-07-16,7010,54.9,12754,82,121.7,953,11
"77",2020-07-16,7018,47.9,14595,86,108.6,750,18
"78",2020-07-16,7019,50.6,14761,97,128.5,600,11
"79",2020-07-16,7022,56.4,16479,88,136.2,1381,27
"80",2020-07-16,7023,61.5,16045,81,122.3,1162,17
"81",2020-07-16,7024,55.4,9168,61,116.5,1091,10
"82",2020-07-16,7027,66.9000000000001,14374,147,127.7,960,17
"83",2020-07-16,7029,59.8,9916,78,101.2,1154,18
"84",2020-07-16,7030,52.4,9975,108,122.2,567,11
"85",2020-07-16,7033,45.4,6151,66,85.4,589,11
"86",2020-07-16,7037,61.7,16390,74,129.6,1876,30
"87",2020-07-16,7039,66.3,12964,108,136.9,1175,21
"88",2020-07-16,7043,53.1,14520,75,119.8,660,15
"89",2020-07-16,7051,61.1,13256,69,138.4,1001,20
"90",2020-07-16,7065,52.9,14864,68,119.9,889,18
"91",2020-07-16,7146,47.6,14552,102,98.8,1337,28
"92",2020-07-16,7159,43.2,13245,82,91.6,841,10
"93",2020-07-16,7169,43.7,13554,94,83.3,2735,38
"94",2020-07-16,8015,49.4,11366,53,95.3,849,15
"95",2020-07-16,8019,40.8,12791,59,96.4,1315,13
"96",2020-07-16,8023,50.6,13408,68,100.8,813,14
"97",2020-07-17,2007,71.1,12694,72,136.4,565,11
"98",2020-07-17,2074,53.9,6142,51,99.7,311,10
"99",2020-07-17,3067,64.6,12904,51,139.9,517,8
"100",2020-07-17,3117,62,11120,74,108.3,460,7
"101",2020-07-17,4001,67,11465,120,135.1,783,12
"102",2020-07-17,4038,64.5,14383,88,140.6,1050,14
"103",2020-07-17,5005,49.5,11948,27,98.2,1243,13
"104",2020-07-17,5133,64.4,13843,89,133.5,864,12
"105",2020-07-17,5137,51.7,8713,76,100.1,560,10
"106",2020-07-17,5139,62.1,12849,59,129.7,746,10
"107",2020-07-17,5140,58.9,11038,116,114.5,1007,14
"108",2020-07-17,5145,60.2,9242,86,125.3,441,10
"109",2020-07-17,6004,53.5,13403,39,108.9,574,7
"110",2020-07-17,6005,58.1,14780,97,121.1,728,9
"111",2020-07-17,6011,55.2,16841,129,150.4,895,9
"112",2020-07-17,6021,69.8,12359,51,141.7,546,12
"113",2020-07-17,6028,59.2,16907,79,132.6,1222,16
"114",2020-07-17,6033,57.6,16725,86,103.4,1362,21
"115",2020-07-17,6047,52.1,13520,73,99.8,972,20
"116",2020-07-17,6126,59.8,13519,74,116,1898,26
"117",2020-07-17,6129,56.2,17217,77,128.1,544,12
"118",2020-07-17,6130,51,16640,124,100.5,954,15
