"","date","total_cows","missing_cow","double_detection_bins","negative_visit_bins","cows_disappeared_after_noon","bins_never_visited","bins_low_traffic","long_dur_feeder","large_intake_feed_visit","low_daily_feed_intake_cows","high_daily_feed_intake_cows","long_dur_drinker","large_intake_water_visit","low_daily_water_intake_cows","high_daily_water_intake_cows"
"1","2020-07-15",48,NA,NA,"14; 103; 104",NA,NA,NA,NA,NA,"8023, 32.5",NA,NA,"103",NA,NA
"2","2020-07-16",48,NA,NA,"103; 104",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA
"3","2020-07-17",48,NA,NA,"6; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-18",48,NA,NA,"14; 17; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-19",48,NA,NA,"14; 25; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,"102",NA,NA
"6","2020-07-20",48,NA,"8","14; 103; 104",NA,NA,NA,NA,NA,NA,"7027, 75.2",NA,"104",NA,NA
"7","2020-07-21",48,NA,"8","6; 14; 103; 104",NA,NA,NA,NA,NA,"4001, 15.2","6021, 77.2; 7027, 79.2000000000001",NA,NA,"4001, 40.4",NA
"8","2020-07-22",48,NA,NA,"9; 103",NA,NA,NA,NA,"10; 11","4001, 27.7","6033, 79.8",NA,NA,NA,NA
"9","2020-07-23",48,NA,NA,"103",NA,NA,"10",NA,"6","4001, 30.3","5133, 75.1",NA,NA,"4001, 36.6",NA
"10","2020-07-24",48,NA,NA,NA,NA,NA,NA,NA,"24; 29",NA,"6021, 75.7",NA,NA,NA,NA
"11","2020-07-25",48,NA,NA,"103",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA
"12","2020-07-26",48,NA,NA,"14; 103; 104",NA,NA,NA,NA,"5; 24","4001, 30.4; 6011, 28.3",NA,NA,NA,"4001, 59",NA
