"date","cow","unique_feed_bins_visited","unique_water_bins_visited","total_bins_visited"
"2020-07-15",2007,23,4,27
"2020-07-15",2074,18,1,19
"2020-07-15",3067,18,4,22
"2020-07-15",3117,24,5,29
"2020-07-15",4001,26,3,29
"2020-07-15",4038,20,3,23
"2020-07-15",5005,17,4,21
"2020-07-15",5133,25,3,28
"2020-07-15",5137,25,5,30
"2020-07-15",5139,24,3,27
"2020-07-15",5140,27,4,31
"2020-07-15",5145,23,4,27
"2020-07-15",6004,19,3,22
"2020-07-15",6005,21,4,25
"2020-07-15",6011,23,4,27
"2020-07-15",6021,28,4,32
"2020-07-15",6028,25,4,29
"2020-07-15",6033,23,2,25
"2020-07-15",6047,27,4,31
"2020-07-15",6126,23,4,27
"2020-07-15",6129,25,4,29
"2020-07-15",6130,29,4,33
"2020-07-15",6131,23,2,25
"2020-07-15",6133,11,2,13
"2020-07-15",6134,25,4,29
"2020-07-15",7007,23,5,28
"2020-07-15",7008,25,4,29
"2020-07-15",7010,16,4,20
"2020-07-15",7018,27,5,32
"2020-07-15",7019,24,4,28
"2020-07-15",7022,29,5,34
"2020-07-15",7023,25,4,29
"2020-07-15",7024,22,4,26
"2020-07-15",7027,27,3,30
"2020-07-15",7029,20,4,24
"2020-07-15",7030,29,5,34
"2020-07-15",7033,16,3,19
"2020-07-15",7037,24,4,28
"2020-07-15",7039,29,5,34
"2020-07-15",7043,28,5,33
"2020-07-15",7051,26,5,31
"2020-07-15",7065,25,5,30
"2020-07-15",7146,27,5,32
"2020-07-15",7159,22,2,24
"2020-07-15",7169,25,3,28
"2020-07-15",8015,13,5,18
"2020-07-15",8019,26,3,29
"2020-07-15",8023,21,4,25
"2020-07-16",2007,27,4,31
"2020-07-16",2074,22,2,24
"2020-07-16",3067,25,3,28
"2020-07-16",3117,20,5,25
"2020-07-16",4001,27,5,32
"2020-07-16",4038,26,4,30
"2020-07-16",5005,11,4,15
"2020-07-16",5133,24,3,27
"2020-07-16",5137,23,5,28
"2020-07-16",5139,18,4,22
"2020-07-16",5140,26,4,30
"2020-07-16",5145,26,4,30
"2020-07-16",6004,19,3,22
"2020-07-16",6005,17,4,21
"2020-07-16",6011,23,3,26
"2020-07-16",6021,19,4,23
"2020-07-16",6028,22,5,27
"2020-07-16",6033,24,3,27
"2020-07-16",6047,29,3,32
"2020-07-16",6126,25,5,30
"2020-07-16",6129,25,5,30
"2020-07-16",6130,25,4,29
"2020-07-16",6131,20,2,22
"2020-07-16",6133,19,4,23
"2020-07-16",6134,24,4,28
"2020-07-16",7007,27,5,32
"2020-07-16",7008,26,3,29
"2020-07-16",7010,25,5,30
"2020-07-16",7018,22,5,27
"2020-07-16",7019,26,4,30
"2020-07-16",7022,25,4,29
"2020-07-16",7023,26,5,31
"2020-07-16",7024,25,4,29
"2020-07-16",7027,27,4,31
